日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/03/07,永和,PM2.5,5,7,7,6,6,6,5,6,8,11,11,9,10,11,11,13,15,14,13,12,15,15,9,6
2018/03/08,永和,PM2.5,5,6,6,2,1,5,6,7,13,10,10,12,10,10,12,8,9,11,13,17,17,16,14,15
2018/03/09,永和,PM2.5,19,19,20,24,24,26,28,32,40,46,49,43,32,30,29,26,27,31,28,26,24,18,14,14
2018/03/10,永和,PM2.5,14,14,16,14,12,12,10,10,10,11,12,9,8,7,6,7,7,7,9,8,9,7,6,8
2018/03/11,永和,PM2.5,9,8,7,7,6,9,10,9,9,7,6,5,6,7,6,7,11,9,6,8,9,7,10,11
2018/03/12,永和,PM2.5,8,6,6,9,9,8,10,14,15,24,29,22,16,16,20,23,25,27,30,32,24,13,13,12
2018/03/13,永和,PM2.5,7,18,29,19,14,13,13,26,41,50,46,32,26,27,36,36,28,27,33,40,38,38,36,26
2018/03/14,永和,PM2.5,19,12,11,14,14,14,12,14,18,23,30,33,38,43,40,32,23,18,14,21,20,8,11,12
2018/03/15,永和,PM2.5,12,12,8,8,11,15,21,25,30,34,26,18,24,42,52,42,27,26,29,29,23,23,29,27
2018/03/16,永和,PM2.5,25,24,19,18,20,15,14,16,19,26,34,34,27,,13,13,17,19,18,21,24,22,16,12
2018/03/17,永和,PM2.5,13,11,12,17,16,13,10,7,7,9,10,10,11,11,8,11,13,14,15,13,15,17,13,12
2018/03/18,永和,PM2.5,13,13,16,15,14,13,8,10,17,23,20,15,23,26,26,27,27,27,26,31,36,36,35,28
2018/03/19,永和,PM2.5,27,28,28,34,33,25,21,26,33,32,30,28,28,29,29,36,37,33,28,31,35,28,28,32
2018/03/20,永和,PM2.5,33,37,30,27,26,16,13,14,18,20,11,7,9,7,3,7,8,9,13,14,10,9,11,12
2018/03/21,永和,PM2.5,10,9,13,15,11,10,10,7,11,13,17,18,11,13,13,,11,12,15,12,8,11,13,10
