序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
39,屏東縣,潮州鎮,潮州,2019/7/10,小時風速值 WS_HR (m/sec),1.6,1.2,0.6,1,0.9,0.8,1.1,1,1.7,2.8,3.3,2.4,3.6,2.9,1.6,0.4,1.4,1.6,1.8,0.5,2.8,1.7,1,2.9
40,屏東縣,潮州鎮,潮州,2019/7/10,風向 WIND_DIREC (degrees),74,140,263,182,57,92,91,113,189,241,235,241,245,273,68,55,46,52,18,78,69,66,333,43
41,屏東縣,潮州鎮,潮州,2019/7/10,溫度 AMB_TEMP (℃),26.6,26.5,27,27.4,27.2,26.9,27.4,28.7,29.9,30.9,31,30,31.3,29.9,28.6,29.4,29.2,28.3,27.5,26.9,26.8,26.7,26.3,25.6
42,屏東縣,潮州鎮,潮州,2019/7/10,風速 WIND_SPEED (m/sec),2.1,1,1.7,1,1.6,1.3,0.9,1.6,3.3,2.9,2.1,3.1,3.7,1.8,1,1.4,1.8,2.5,2.1,2.6,3,2.9,2.5,3.7
43,屏東縣,潮州鎮,潮州,2019/7/10,氮氧化物 NOx (ppb),3,2.6,3.1,3.1,3.7,3.2,3.9,4.8,4.7,3.3,3.6,3.8,4,3.6,4,4.3,5,5.2,4.2,4.5,3.8,3.2,3.3,3.5
44,屏東縣,潮州鎮,潮州,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),9,7,7,9,7,5,9,9,6,5,x,6,3,3,x,x,7,5,7,10,7,6,9,8
45,屏東縣,潮州鎮,潮州,2019/7/10,臭氧 O3 (ppb),19,18,17,19,16,22,18,18,24,26,26,27,28,27,25,24,23,23,23,23,21,21,23,22
46,屏東縣,潮州鎮,潮州,2019/7/10,一氧化碳 CO (ppm),0.11,0.08,0.09,0.09,0.09,0.1,0.12,0.13,0.12,0.13,0.12,0.11,0.11,0.13,0.11,0.14,0.15,0.15,0.14,0.13,0.12,0.11,0.12,0.12
47,屏東縣,潮州鎮,潮州,2019/7/10,相對濕度 RH (percent),84,85,85,85,85,85,85,84,79,73,70,75,73,74,78,75,76,77,79,82,83,84,84,85
48,屏東縣,潮州鎮,潮州,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),8,8,7,7,3,8,8,12,11,20,23,18,18,17,21,21,17,19,11,19,14,11,3,2
49,屏東縣,潮州鎮,潮州,2019/7/10,二氧化硫 SO2 (ppb),1.6,0.8,0.7,0.7,0.8,0.9,0.8,0.7,0.7,0.5,0.5,0.4,0.2,0.4,0.5,0.8,0.7,0.7,0.9,0.7,0.6,0.4,0.4,0.3
